# ABCx3 canonical Hungarian classic-tile lexicon v1
# key=base64url one-byte token identifiers; value=NFC surface
# Compatibility aliases first; preferred physical spelling follows.
AwcRFgUFARQ	beloccsan
AwcRFhsgHR0C	belorusszá
AwcRIgsLBxE	belüggyel
AwcRIgsLCA	belüggyé
AwcTAh0dARA	bemásszak
AwcTAh0dAhA	bemásszák
AwcTAh0dFhQ	bemásszon
AwcTAh0dIBQQ	bemásszunk
AwcTBx4dHSIQ	bemetsszük
AwcUHhYdHQER	bentosszal
AwcUHhYdHQI	bentosszá
AwcWESQBHR0B	beolvassza
AwcWHR0B	beossza
AwcWHR0BEw	beosszam
AwcWHR0BFAEQ	beosszanak
AwcWHR0CEA	beosszák
AwcWHR0WFA	beosszon
AwcWHR0gEA	beosszuk
AwcaAR0dFhE	bepasszol
AwcaAR0dFhEe	bepasszolt
AwcaFh8fARQ	bepottyan
AwcaFh8fARQe	bepottyant
AwcaGB8fGCUZ	bepöttyöző
AwcbAwgFBQcR	berbéccsel
AwcbAwgFBQg	berbéccsé
AwcbBwUFBxQ	bereccsen
AwcbBwUFBxQe	bereccsent
AwcbBxAHHR0H	berekessze
AwcbFgsLARQe	beroggyant
AwcbJgcVFQg	berzsennyé
AwccEQEfHxYK	beslattyog
AwccEQ0dHQEU	beslisszan
AwccEQ0dHRYR	beslisszol
AwccIB8fARQ	besuttyan
AwccIB8fARQe	besuttyant
AwccIhISBwY	besüllyed
AwccIhISBwYZ	besüllyedő
AwccIhISBwYe	besüllyedt
AwcdBxUVByU	beszennyez
AwcdCBISBxE	beszéllyel
AwcdCBISCA	beszéllyé
AwcdHQ	bessz
AwcdHQMH	besszbe
AwcdHQMHFA	besszben
AwcdHQMZEQ	besszből
AwcdHQc	bessze
AwcdHQcQ	besszek
AwcdHQcQAwc	besszekbe
AwcdHQcQAwcU	besszekben
AwcdHQcQAxkR	besszekből
AwcdHQcQBxQ	besszeken
AwcdHQcQBx4	besszeket
AwcdHQcQCBse	besszekért
AwcdHQcQDAcl	besszekhez
AwcdHQcQDQo	besszekig
AwcdHQcQEAcR	besszekkel
AwcdHQcQEAg	besszekké
AwcdHQcQFAcQ	besszeknek
AwcdHQcQFAgR	besszeknél
AwcdHQcQGwc	besszekre
AwcdHQcQGxkR	besszekről
AwcdHQcQHhkR	besszektől
AwcdHQcQIhE	besszekül
AwcdHQcR	besszel
AwcdHQcU	besszen
AwcdHQg	besszé
AwcdHQgDBxQ	besszében
AwcdHQgbHg	besszért
AwcdHQwHJQ	besszhez
AwcdHQ0K	besszig
AwcdHRAIFB4	besszként
AwcdHRQHEA	bessznek
AwcdHRQIEQ	bessznél
AwcdHRsH	besszre
AwcdHRsZEQ	besszről
AwcdHR4	besszt
AwcdHR4ZEQ	bessztől
AwcdHSIR	besszül
AwcdIBUVAQY	beszunnyad
AwceARoBHR0B	betapassza
AwceBwoCCwsC	betegággyá
AwceBx0dIhA	betesszük
AwceFh8fARQe	betottyant
AwcgChsBHR0	beugrassz
AwcgChsBHR0B	beugrassza
AwchHR0WFA	beússzon
AwckAhEBHR0B	beválassza
AwckBx0dIhA	bevesszük
AwckDR0dIhA	bevisszük
AwgRChgbBQUI	bélgörccsé
AwgbGB0dBwo	bérösszeg
AwglHR0OFCM	bézsszínű
AwgmJgcR	bézzsel
Aw0EBxodHQcR	bicepsszel
Aw0EBxodHQg	bicepsszé
Aw0LCwcG	biggyed
Aw0LCwcGGQ	biggyedő
